BoxID,Processor,Weight
353,148,788489847
354,158,824781535
355,156,822200421
356,215,863018273
357,215,907979871
358,223,791025394
359,221,850859007
360,148,845523386
361,151,912020045
362,158,907738415
363,157,881015935
364,212,877469467
365,214,877626277
366,222,855067542
367,220,893736913
368,150,926292795
369,151,804403270
370,157,807773696
371,157,946819835
372,213,916436439
373,213,836531815
374,220,835075685
375,222,785594163
376,149,781751636
377,150,880741171
378,156,854601062
379,159,982360233
380,212,890166004
381,213,881000508
382,221,879170307
383,223,895494991
384,4,842956022
385,7,787549556
386,14,853106564
387,14,859749648
388,68,874257564
389,68,825953912
390,78,786002000
391,76,802196875
392,6,808970685
393,4,887670926
394,15,831637951
395,14,909067743
396,68,879590992
397,68,831242805
398,77,802608050
399,79,879889559
400,4,849598425
401,7,887143668
402,12,883905828
403,13,806723791
404,71,810930783
405,69,852673062
406,78,853563900
407,79,864451314
408,5,917723791
409,9,908212400
410,15,943430154
411,19,908055673
412,71,850296761
413,73,868133397
414,76,838608487
415,83,804328555
416,20,854161839
417,22,865756881
418,30,882998562
419,29,885001618
420,86,822100648
421,84,847640263
422,94,872649237
423,95,870932238
424,22,825879433
425,23,851802865
426,31,840212403
427,28,860915265
428,85,853664206
429,86,876734221
430,93,872122613
431,95,875827884
432,20,944426140
433,22,846856980
434,30,877019325
435,31,860424980
436,86,882612671
437,86,865866684
438,94,869077309
439,92,942709759
440,21,838848838
441,25,866152348
442,30,827821368
443,32,853312066
444,84,891228606
445,91,862519960
446,92,849210892
447,99,864402855
448,132,856686336
449,133,876172682
450,140,752150166
451,140,824095076
452,196,824584119
453,197,863428675
454,206,865119753
455,206,916677880
456,135,819796510
457,133,865369489
458,140,828298867
459,140,797108980
460,196,848791468
461,196,879444839
462,205,900667676
463,204,870433072
464,134,912315305
465,135,867961078
466,142,926234893
467,143,895126619
468,197,906325330
469,198,786596533
470,205,829201866
471,204,919049355
472,134,864373023
473,136,887834231
474,142,867570615
475,140,799467802
476,199,944111911
477,199,781875217
478,207,916085733
479,206,871601914
480,148,952881547
481,150,827483587
482,158,890664972
483,156,906768794
484,212,884617615
485,215,884556919
486,223,838844828
487,220,858285457
488,151,904856676
489,149,891030176
490,159,837696457
491,156,904884711
492,213,843095986
493,214,916991636
494,223,856267149
495,220,836929029
496,150,795335444
497,148,847871198
498,158,863931441
499,157,852754858
500,214,797494659
501,215,778296543
502,221,868147454
503,222,866654406
504,151,801759610
505,149,914421584
506,159,866512788
507,162,839533757
508,214,857890026
509,212,825746904
510,221,789625384
511,222,880459238
512,35,846773585
513,32,835732680
514,42,826187298
515,43,858902272
516,96,846296762
517,97,909355661
518,104,950182862
519,106,960990537
520,33,836774142
521,35,895369485
522,42,864475453
523,42,909553755
524,97,815427796
525,98,896102251
526,105,863201902
527,107,867959641
528,32,845530330
529,33,862376772
530,43,798917812
531,42,834353036
532,97,830829092
533,98,843894824
534,106,873601647
535,106,810899073
536,35,876831785
537,35,817716882
538,40,894978193
539,43,886416987
540,99,896962054
541,97,860626756
542,105,899236756
543,104,806232030
544,48,898754461
545,49,829191734
546,57,840924831
547,58,891496130
548,114,834677672
549,112,839087853
550,123,877563927
551,123,829927760
552,51,884426414
553,50,775986727
554,59,882561527
555,57,872471466
556,112,862962217
557,114,817114166
558,123,882771230
559,120,880418673
560,50,869431567
561,49,912683927
562,57,857201002
563,56,851884506
564,112,831498599
565,113,856636595
566,121,881982071
567,123,882644019
